State,Capital
Wien,Vienna
Niederösterreich,Sankt Pölten
Oberösterreich,Linz
Steiermark,Graz
Tirol,Innsbruck
Kärnten,Klagenfurt
Salzburg,Salzburg
Vorarlberg,Bregenz
Burgenland,Eisenstadt
